#db_xref_ID|db_xref_PageLink|db_xref_FileLink|db_xref_Comment
#Official site: http://www.ncbi.nlm.nih.gov/genbank/collab/db_xref
AceView/WormGenes|http://www.ncbi.nlm.nih.gov/IEB/Research/Acembly/av.cgi?exdb=AceView&db=worm&term=%1||AceView Worm Genome

AFTOL|http://aftol1.biology.duke.edu/pub/primers/getPrimersByAFTOLID?aftol_id=%1||Assembling the Fungal Tree of Life

AntWeb|http://www.antweb.org/specimen.do?name=%1||Ant Database

APHIDBASE|http://bipaa.genouest.org/apps/grs-2.3/grs?reportID=aphidbase_transcript_report&objectID=%1||Aphid Genome Database

ApiDB|http://eupathdb.org/eupathdb/showSummary.do?questionFullName=GeneQuestions.GeneBySingleLocusTag&myProp%28single_gene_id%29=%1||Apicomplexan Database Resources

ApiDB_CryptoDB|http://www.cryptodb.org/cryptodb/showRecord.do?name=GeneRecordClasses.GeneRecordClass&project_id=&primary_key=%1||Cryptosporidium Genome Resources

ApiDB_PlasmoDB|http://www.plasmodb.org/plasmo/showRecord.do?name=GeneRecordClasses.GeneRecordClass&project_id=&primary_key=%1||Plasmodium Genome Resources

ApiDB_ToxoDB|http://www.toxodb.org/toxo/showRecord.do?name=GeneRecordClasses.GeneRecordClass&project_id=&primary_key=%1||Toxoplasma Genome Resources

ASAP|http://asap.ahabs.wisc.edu/asap/feature_info.php?FeatureID=%1||A Systematic Annotation Package for Community Analysis of Genomes

ATCC|||American Type Culture Collection database

ATCC(in host)|||American Type Culture Collection database

ATCC(dna)|||American Type Culture Collection database

Axeldb|||A Xenopus laevis database

BDGP_EST|||Berkeley Drosophila Genome Project EST database

BDGP_INS|||Berkeley Drosophila Genome Project database -- Insertion

BEEBASE|||BeeBase

BEETLEBASE|http://beetlebase.org/cgi-bin/gbrowse/BeetleBase3.gff3/?name=%1||Tribolium Genome Database -- Insertion

BGD|http://bovinegenome.org/genepages/btau40/genes/%1||Bovine Genome Database

BOLD|||Barcode of Life database

CABRI|||Common Access to Biological Resources and Information Project

CCAP|||Culture Collection of Algae and Protozoa

CDD|http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=%1||Conserved Domain Database

